GOP,layer, Y-PSNR, bits
1,1,43.467,1022
1,2,43.735,920
1,3,44.317,1281
1,4,47.063,1916
1,5,49.803,2381
1,6,51.364,3351
1,7,52.485,3981
1,8,54.511,5121
2,1,35.974,7269
2,2,36.621,5163
2,3,37.575,8532
2,4,38.647,11866
2,5,39.734,15326
2,6,40.865,21449
2,7,41.927,26364
2,8,43.336,34657
3,1,33.619,15097
3,2,34.466,9100
3,3,35.476,13880
3,4,36.516,18055
3,5,37.537,23090
3,6,38.577,31221
3,7,39.585,38455
3,8,40.726,52455
4,1,33.654,12233
4,2,34.496,7498
4,3,35.610,11414
4,4,36.736,14396
4,5,37.713,17212
4,6,38.707,22777
4,7,39.695,28775
4,8,40.624,37402
5,1,33.944,11004
5,2,34.754,6897
5,3,35.856,10150
5,4,36.962,12818
5,5,37.917,15383
5,6,38.917,20371
5,7,39.887,25666
5,8,40.783,32503
6,1,33.754,11595
6,2,34.571,7200
6,3,35.671,10531
6,4,36.775,13182
6,5,37.736,15788
6,6,38.746,21181
6,7,39.728,26700
6,8,40.630,34194
7,1,33.598,12594
7,2,34.422,7527
7,3,35.511,11207
7,4,36.617,14198
7,5,37.551,17003
7,6,38.548,22538
7,7,39.571,28828
7,8,40.514,36396
8,1,33.529,13376
8,2,34.339,7813
8,3,35.394,11529
8,4,36.508,14742
8,5,37.459,17647
8,6,38.461,23411
8,7,39.470,29099
8,8,40.444,37900
9,1,33.581,12662
9,2,34.389,7662
9,3,35.469,11303
9,4,36.572,14268
9,5,37.510,16860
9,6,38.539,22714
9,7,39.557,28689
9,8,40.507,36320
10,1,33.756,11976
10,2,34.521,7205
10,3,35.573,10932
10,4,36.657,13768
10,5,37.586,16679
10,6,38.619,22224
10,7,39.635,27736
10,8,40.596,35320
11,1,33.808,11816
11,2,34.603,7224
11,3,35.649,10668
11,4,36.717,13541
11,5,37.642,16240
11,6,38.671,21575
11,7,39.681,27320
11,8,40.652,34994
12,1,33.818,12182
12,2,34.594,7382
12,3,35.594,10755
12,4,36.667,13829
12,5,37.612,16183
12,6,38.654,21931
12,7,39.669,27454
12,8,40.625,34733
13,1,34.031,11462
13,2,34.788,6910
13,3,35.816,10349
13,4,36.877,13004
13,5,37.827,15224
13,6,38.822,19976
13,7,39.828,25527
13,8,40.793,32632
14,1,34.040,11637
14,2,34.758,6776
14,3,35.780,10311
14,4,36.832,12636
14,5,37.749,14843
14,6,38.784,20311
14,7,39.792,25387
14,8,40.753,32396
15,1,34.104,10704
15,2,34.846,6391
15,3,35.900,9462
15,4,36.983,11784
15,5,37.916,13909
15,6,38.978,18670
15,7,39.986,23100
15,8,40.923,29243
16,1,34.267,9496
16,2,35.078,6088
16,3,36.127,8523
16,4,37.220,10538
16,5,38.207,12760
16,6,39.252,16617
16,7,40.265,20666
16,8,41.167,26031
17,1,34.170,9254
